model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,3800,-0.9051430622736613,-1.5854277610778809,-1.2537778615951538,-0.9318985342979431,-0.6114047169685364,-0.6172247529029846,-0.431124746799469
bidirectional,3900,-0.9466165800889333,-1.6282614469528198,-1.124947428703308,-0.872295618057251,-0.7220093607902527,-0.7388331890106201,-0.5933524370193481
bidirectional,4000,-0.9098416417837143,-1.7520623207092285,-1.2232695817947388,-1.0465543270111084,-0.509762704372406,-0.6160110831260681,-0.31138983368873596
bidirectional,4100,-0.9244401256243387,-1.792535424232483,-1.3833779096603394,-0.81423020362854,-0.5114731788635254,-0.628578782081604,-0.416445255279541
bidirectional,4200,-0.840068981051445,-1.7244478464126587,-0.9416284561157227,-0.8894404172897339,-0.5740665793418884,-0.45553240180015564,-0.45529818534851074
bidirectional,4300,-0.767659455537796,-1.1231846809387207,-0.8874049186706543,-0.8793768286705017,-0.6205615997314453,-0.6814926862716675,-0.4139360189437866
bidirectional,4400,-0.9035745064417521,-1.6538537740707397,-1.2267407178878784,-0.9213954210281372,-0.593177080154419,-0.6550202369689941,-0.37125980854034424
bidirectional,4500,-0.8505297799905142,-1.6541448831558228,-1.0915428400039673,-0.818652331829071,-0.5949686169624329,-0.5703325271606445,-0.37353748083114624
bidirectional,4600,-0.7633474121491114,-1.6341432332992554,-1.080981731414795,-0.8732356429100037,-0.28790152072906494,-0.45088833570480347,-0.2529340088367462
bidirectional,4700,-0.7972305566072464,-1.6484320163726807,-1.0571537017822266,-0.5964871048927307,-0.5266934633255005,-0.5387833714485168,-0.4158336818218231
bidirectional,4800,-0.8826189984877905,-1.7976703643798828,-1.1915323734283447,-0.8520764112472534,-0.5397288799285889,-0.5756472945213318,-0.33905866742134094
bidirectional,4900,-0.8985122243563334,-1.6995187997817993,-1.2988625764846802,-0.8459076285362244,-0.6022540330886841,-0.6088288426399231,-0.33570146560668945
bidirectional,5000,-0.9907160103321075,-1.917831301689148,-1.3746364116668701,-0.9272046089172363,-0.6352206468582153,-0.6483927965164185,-0.4410102963447571
bidirectional,5100,-0.9795355598131815,-1.8766182661056519,-1.2621840238571167,-0.9139305353164673,-0.6567426919937134,-0.6990047097206116,-0.46873313188552856
bidirectional,5200,-1.0468879342079163,-2.0522196292877197,-1.3093160390853882,-0.939430296421051,-0.6875869035720825,-0.7699431777000427,-0.5228315591812134
bidirectional,5300,-0.9317991733551025,-1.9631574153900146,-1.1851648092269897,-0.809962272644043,-0.6179546117782593,-0.6039615273475647,-0.4105944037437439
bidirectional,5400,-0.9008162717024485,-1.77396821975708,-1.0439860820770264,-0.9282799363136292,-0.6159260869026184,-0.5785481929779053,-0.4641891121864319
